YearMonth,State,OccurrenceCount
2017-12,LA,1502
2017-12,MA,785
2017-12,MD,1143
2017-12,ME,68
2017-12,MI,3026
2017-12,MN,2227
2017-12,MO,762
2017-12,MS,166
2017-12,MT,17
2017-12,NC,4847
2017-12,ND,1
2017-12,NE,571
2017-12,NH,265
2017-12,NJ,1105
2017-12,NM,186
2017-12,NV,238
2017-12,NY,3705
2017-12,OH,1355
2017-12,OK,1891
2017-12,OR,876
2017-12,PA,1738
2017-12,RI,291
2017-12,SC,4325
2017-12,SD,3
2017-12,TN,1719
2017-12,TX,7032
2017-12,UT,645
2017-12,VA,2248
2017-12,VT,37
2017-12,WA,1713
2017-12,WI,444
2017-12,WV,41
2017-12,WY,11
2018-01,AL,761
2018-01,AR,23
2018-01,AZ,2168
2018-01,CA,12381
2018-01,CO,1142
2018-01,CT,596
2018-01,DC,111
2018-01,DE,97
2018-01,FL,5138
2018-01,GA,2025
2018-01,IA,208
2018-01,ID,8
2018-01,IL,2312
2018-01,IN,1650
2018-01,KS,263
2018-01,KY,685
2018-01,LA,1519
2018-01,MA,999
2018-01,MD,1064
2018-01,ME,54
2018-01,MI,2777
2018-01,MN,2246
2018-01,MO,774
2018-01,MS,198
2018-01,MT,26
2018-01,NC,5132
2018-01,NE,612
2018-01,NH,237
2018-01,NJ,1268
2018-01,NM,154
2018-01,NV,156
2018-01,NY,3383
2018-01,OH,1489
2018-01,OK,1782
2018-01,OR,756
2018-01,PA,1931
2018-01,RI,295
2018-01,SC,5156
2018-01,SD,5
2018-01,TN,1854
2018-01,TX,6647
2018-01,UT,640
2018-01,VA,2230
2018-01,VT,19
2018-01,WA,1555
2018-01,WI,509
2018-01,WV,45
2018-01,WY,13
2018-02,AL,729
2018-02,AR,57
2018-02,AZ,1724
2018-02,CA,11500
2018-02,CO,1148
2018-02,CT,528
2018-02,DC,125
2018-02,DE,134
2018-02,FL,4929
2018-02,GA,1946
2018-02,IA,370
2018-02,ID,30
2018-02,IL,2135
2018-02,IN,1206
2018-02,KS,209
2018-02,KY,729
2018-02,LA,1463
2018-02,MA,843
2018-02,MD,1034
2018-02,ME,31
2018-02,MI,2439
2018-02,MN,1866
2018-02,MO,812
2018-02,MS,237
2018-02,MT,57
2018-02,NC,5070
2018-02,ND,1
2018-02,NE,553
2018-02,NH,262
2018-02,NJ,1253
2018-02,NM,197
2018-02,NV,258
2018-02,NY,2649
2018-02,OH,1263
2018-02,OK,1561
2018-02,OR,802
2018-02,PA,1553
2018-02,RI,230
2018-02,SC,5168
2018-02,TN,1964
2018-02,TX,7772
2018-02,UT,951
2018-02,VA,1857
2018-02,VT,22
2018-02,WA,1386
2018-02,WI,430
2018-02,WV,39
2018-02,WY,13
2018-03,AL,1105
2018-03,AR,31
2018-03,AZ,1634
2018-03,CA,14841
2018-03,CO,1088
2018-03,CT,483
2018-03,DC,86
2018-03,DE,198
2018-03,FL,5578
2018-03,GA,2042
2018-03,IA,193
2018-03,ID,45
2018-03,IL,1958
2018-03,IN,1034
2018-03,KS,226
2018-03,KY,719
2018-03,LA,1890
