State,Hourly,OccurrenceCount
NY,00:00,5869
NY,01:00,4345
NY,02:00,3812
NY,03:00,3567
NY,04:00,7009
NY,05:00,11335
NY,06:00,20308
NY,07:00,29132
NY,08:00,28644
NY,09:00,17573
NY,10:00,15866
NY,11:00,16963
NY,12:00,15467
NY,13:00,16962
NY,14:00,19378
NY,15:00,21775
NY,16:00,23322
NY,17:00,23123
NY,18:00,16627
NY,19:00,12439
NY,20:00,10670
NY,21:00,9013
NY,22:00,7868
NY,23:00,6893
OH,00:00,622
OH,01:00,478
OH,02:00,511
OH,03:00,464
OH,04:00,2648
OH,05:00,3347
OH,06:00,7562
OH,07:00,14781
OH,08:00,13584
OH,09:00,4445
OH,10:00,4825
OH,11:00,4934
OH,12:00,4683
OH,13:00,4462
OH,14:00,5435
OH,15:00,7085
OH,16:00,10549
OH,17:00,10686
OH,18:00,7271
OH,19:00,4028
OH,20:00,2255
OH,21:00,1481
OH,22:00,1179
OH,23:00,800
OK,00:00,133
OK,01:00,116
OK,02:00,79
OK,03:00,88
OK,04:00,1356
OK,05:00,1282
OK,06:00,3013
OK,07:00,6352
OK,08:00,6877
OK,09:00,4354
OK,10:00,4516
OK,11:00,4853
OK,12:00,3697
OK,13:00,3900
OK,14:00,4077
OK,15:00,7031
OK,16:00,8003
OK,17:00,7541
OK,18:00,6674
OK,19:00,3538
OK,20:00,2221
OK,21:00,2310
OK,22:00,1425
OK,23:00,211
OR,00:00,3613
OR,01:00,3316
OR,02:00,3022
OR,03:00,2858
OR,04:00,4277
OR,05:00,5732
OR,06:00,7794
OR,07:00,10623
OR,08:00,10123
OR,09:00,8000
OR,10:00,8065
OR,11:00,8397
OR,12:00,9166
OR,13:00,9769
OR,14:00,10842
OR,15:00,11635
OR,16:00,11832
OR,17:00,11891
OR,18:00,9830
OR,19:00,7875
OR,20:00,6343
OR,21:00,5872
OR,22:00,4713
OR,23:00,4072
PA,00:00,5081
PA,01:00,4468
PA,02:00,4077
PA,03:00,3205
PA,04:00,6609
PA,05:00,9212
PA,06:00,16465
PA,07:00,25114
PA,08:00,24643
PA,09:00,12364
PA,10:00,13251
PA,11:00,14428
PA,12:00,13344
PA,13:00,14290
PA,14:00,16585
PA,15:00,18512
PA,16:00,20263
PA,17:00,19684
PA,18:00,13779
PA,19:00,10529
PA,20:00,9145
PA,21:00,8076
PA,22:00,7699
PA,23:00,5797
RI,00:00,78
RI,01:00,54
RI,02:00,58
RI,03:00,25
RI,04:00,140
RI,05:00,242
RI,06:00,583
RI,07:00,1410
RI,08:00,1722
RI,09:00,1051
RI,10:00,793
RI,11:00,720
